player_id,player_name,team_id,team_abbreviation,age,gp,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,dd2,td3
920,A.C. Green,1610612747,LAL,36.0,82,0.817,1930.2016666666664,173,387,0.447,1,4,0.25,66,95,0.695,160,326,486,80,53,53,18,25,127,18,413,328,2,0
243,Aaron McKie,1610612755,PHI,27.0,82,0.598,1954.28,244,593,0.411,44,121,0.364,121,146,0.829,47,199,246,240,113,108,18,41,194,8,653,52,0,0
1425,Aaron Williams,1610612764,WAS,28.0,81,0.358,1548.1866666666667,235,450,0.522,0,3,0.0,146,201,0.726,159,250,409,58,80,41,92,47,234,16,616,35,5,0
228,Adam Keefe,1610612762,UTA,30.0,62,0.661,608.38,53,130,0.408,0,1,0.0,29,36,0.806,45,91,136,34,46,17,13,18,90,5,135,-37,0,0
1502,Adonal Foyle,1610612744,GSW,25.0,76,0.211,1652.9116666666666,193,380,0.508,0,0,0.0,34,90,0.378,174,250,424,42,71,26,136,28,218,18,420,-349,4,0
1559,Adrian Griffin,1610612738,BOS,25.0,72,0.403,1928.2033333333336,175,413,0.424,16,57,0.281,119,158,0.753,128,244,372,177,93,116,15,39,222,14,485,-31,4,0
673,Alan Henderson,1610612737,ATL,27.0,82,0.341,2779.4983333333334,429,930,0.461,1,10,0.1,224,334,0.671,265,306,571,77,139,81,54,90,233,15,1083,-381,14,0
275,Allan Houston,1610612752,NYK,29.0,82,0.61,3169.0,614,1271,0.483,106,243,0.436,280,334,0.838,38,233,271,224,186,65,14,45,219,29,1614,154,0,0
947,Allen Iverson,1610612755,PHI,25.0,70,0.6,2855.971666666667,729,1733,0.421,89,261,0.341,442,620,0.713,71,196,267,328,230,144,5,136,162,34,1989,129,1,0
297,Alonzo Mourning,1610612748,MIA,30.0,79,0.633,2744.848333333334,652,1184,0.551,0,4,0.0,414,582,0.711,215,538,753,123,217,40,294,68,308,28,1718,270,38,0
1889,Andre Miller,1610612739,CLE,24.0,82,0.39,2097.2116666666666,339,755,0.449,10,49,0.204,226,292,0.774,85,195,280,476,166,84,17,87,194,29,914,-109,8,1
692,Andrew DeClercq,1610612739,CLE,27.0,82,0.39,1822.45,225,443,0.508,0,0,0.0,94,160,0.588,156,283,439,58,108,63,66,54,275,37,544,-164,4,0
358,Anfernee Hardaway,1610612756,PHX,28.0,60,0.7,2252.7633333333333,378,798,0.474,33,102,0.324,226,286,0.79,91,256,347,315,153,94,38,50,163,18,1015,367,8,1
1853,Anthony Carter,1610612748,MIA,25.0,79,0.633,1861.545,201,509,0.395,3,23,0.13,93,124,0.75,48,151,199,378,173,93,5,30,167,12,498,21,2,0
193,Anthony Mason,1610612766,CHH,33.0,82,0.598,3136.1633333333334,317,661,0.48,0,1,0.0,314,421,0.746,145,554,699,367,160,74,29,70,220,26,948,175,22,3
324,Anthony Peeler,1610612750,MIN,30.0,82,0.61,2071.9483333333333,316,725,0.436,85,255,0.333,87,109,0.798,58,174,232,195,85,62,10,33,171,10,804,-77,0,0
952,Antoine Walker,1610612738,BOS,23.0,82,0.427,3004.25,648,1506,0.43,73,285,0.256,311,445,0.699,199,453,652,305,259,117,32,141,263,9,1680,-5,23,1
1498,Antonio Daniels,1610612759,SAS,25.0,68,0.662,1190.04,163,344,0.474,22,66,0.333,72,101,0.713,16,70,86,177,58,55,5,14,73,21,420,162,1,0
213,Antonio Davis,1610612761,TOR,31.0,79,0.544,2480.4216666666666,313,712,0.44,0,0,0.0,284,371,0.765,235,461,696,105,121,38,100,90,267,36,910,15,23,0
686,Antonio McDyess,1610612743,DEN,25.0,81,0.42,2699.345,614,1211,0.507,0,2,0.0,323,516,0.626,234,451,685,159,230,69,139,84,316,22,1551,-215,31,0
717,Arvydas Sabonis,1610612757,POR,35.0,66,0.758,1683.305,302,598,0.505,7,19,0.368,167,198,0.843,97,416,513,118,97,43,78,24,184,13,778,295,17,0
1506,Austin Croshere,1610612754,IND,25.0,81,0.679,1886.5516666666667,288,653,0.441,63,174,0.362,196,231,0.848,135,381,516,89,121,44,60,47,203,17,835,304,11,0
422,Avery Johnson,1610612759,SAS,35.0,82,0.646,2575.535,402,850,0.473,1,9,0.111,114,155,0.735,33,125,158,491,140,76,18,60,150,8,919,253,5,0
1884,Baron Davis,1610612766,CHH,21.0,82,0.598,1523.4183333333333,182,433,0.42,25,111,0.225,97,153,0.634,48,117,165,309,140,97,19,24,201,7,486,54,0,0
1112,Ben Wallace,1610612753,ORL,25.0,81,0.494,1959.4633333333336,168,334,0.503,0,0,0.0,54,114,0.474,211,454,665,67,67,72,130,29,162,19,390,28,6,0
182,Billy Owens,1610612744,GSW,31.0,62,0.484,1304.6516666666666,150,358,0.419,11,34,0.324,63,106,0.594,99,202,301,97,85,33,21,23,166,4,374,-63,2,0
902,Bimbo Coles,1610612737,ATL,32.0,80,0.35,1926.9433333333336,276,607,0.455,8,39,0.205,85,104,0.817,30,142,172,290,103,58,11,31,178,21,645,-210,1,0
448,Bo Outlaw,1610612753,ORL,29.0,82,0.5,2326.153333333333,204,339,0.602,0,3,0.0,82,162,0.506,202,323,525,245,133,113,148,21,203,35,490,258,6,1
682,Bob Sura,1610612739,CLE,27.0,73,0.411,2218.065,356,815,0.437,122,332,0.367,175,251,0.697,50,238,288,284,148,91,19,49,201,35,1009,-193,4,0
1517,Bobby Jackson,1610612750,MIN,27.0,73,0.589,1033.4716666666666,140,346,0.405,13,46,0.283,76,98,0.776,50,103,153,172,58,48,7,18,114,2,369,-99,1,1
1719,Bonzi Wells,1610612757,POR,23.0,66,0.742,1163.3633333333332,236,480,0.492,20,53,0.377,88,129,0.682,78,104,182,97,97,69,12,35,153,7,580,101,1,0
699,Brent Barry,1610612760,SEA,28.0,80,0.55,2732.306666666667,327,707,0.463,164,399,0.411,127,157,0.809,50,322,372,291,142,103,31,19,228,37,945,81,1,0
1510,Brevin Knight,1610612739,CLE,24.0,65,0.415,1762.4366666666667,230,558,0.412,2,10,0.2,140,184,0.761,38,155,193,458,157,107,21,26,185,30,602,-124,12,0
258,Brian Grant,1610612757,POR,28.0,63,0.73,1324.32,173,352,0.491,1,2,0.5,112,166,0.675,121,223,344,64,84,32,28,45,166,7,459,122,2,0
216,Brian Shaw,1610612747,LAL,34.0,74,0.838,1248.11,123,322,0.382,18,58,0.31,41,54,0.759,45,171,216,201,75,35,14,18,105,3,305,120,0,0
1477,Bruce Bowen,1610612748,MIA,29.0,69,0.536,871.0566666666666,72,194,0.371,27,58,0.466,25,43,0.581,27,69,96,34,19,23,15,9,118,13,196,9,0,0
735,Bryant Reeves,1610612763,VAN,27.0,69,0.29,1770.9366666666667,252,562,0.448,0,4,0.0,107,165,0.648,126,264,390,82,119,33,38,56,245,22,611,-200,3,0
1724,Bryce Drew,1610612745,HOU,25.0,72,0.389,1292.3,158,413,0.383,59,163,0.362,45,53,0.849,23,80,103,162,66,41,1,9,79,7,420,57,2,0
935,Bryon Russell,1610612762,UTA,29.0,82,0.671,2898.7,408,914,0.446,106,268,0.396,236,315,0.749,99,328,427,158,101,128,23,53,255,50,1158,521,5,0
384,Calbert Cheaney,1610612738,BOS,28.0,67,0.433,1305.4733333333334,120,273,0.44,18,54,0.333,9,21,0.429,23,115,138,80,46,44,14,6,158,14,267,-128,0,0
76,Cedric Ceballos,1610612742,DAL,30.0,69,0.478,2063.536666666667,447,1002,0.446,44,134,0.328,209,248,0.843,172,290,462,90,125,56,24,87,165,13,1147,-113,15,0
1538,Cedric Henderson,1610612739,CLE,25.0,61,0.41,1102.5616666666667,129,326,0.396,1,15,0.067,69,104,0.663,34,106,140,55,68,39,17,24,99,10,328,-160,0,0
891,Charles Oakley,1610612761,TOR,36.0,80,0.563,2429.0233333333335,234,560,0.418,14,41,0.341,66,85,0.776,117,423,540,253,154,102,45,20,294,38,548,20,5,0
369,Charlie Ward,1610612752,NYK,29.0,72,0.625,1988.795,189,447,0.423,102,264,0.386,48,58,0.828,22,206,228,300,102,95,16,12,176,43,528,179,2,0
1512,Chris Anstey,1610612741,CHI,25.0,73,0.178,1005.9016666666666,161,364,0.442,1,6,0.167,116,147,0.789,90,190,280,65,80,29,25,23,180,31,439,-94,4,0
164,Chris Childs,1610612752,NYK,32.0,71,0.592,1674.39,146,357,0.409,37,104,0.356,47,59,0.797,17,130,147,285,105,36,4,17,240,32,376,-66,1,0
