Team,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
ATL,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ATL,2021,Team,72,17405,2937,6281,.468,895,2402,.373,2042,3879,.526,1417,1745,.812,760,2525,3285,1737,503,342,953,1392,8186
ATL,2021,Team/G,,241.7,40.8,87.2,.468,12.4,33.4,.373,28.4,53.9,.526,19.7,24.2,.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7
ATL,2021,Lg Rank,,11,19,23,17,17,19,12,15,15,19,2,4,5,7,10,5,19,24,17,9,18,13
ATL,2021,Year/Year,,-0.5%,0.4%,-3.7%,+.019,3.5%,-7.5%,+.039,-0.9%,-1.1%,+.001,6.6%,3.7%,+.022,7.0%,5.0%,5.5%,0.7%,-10.5%,-6.7%,-18.3%,-16.3%,1.7%
ATL,2021,Opponent,72,17405,2971,6418,.463,858,2460,.349,2113,3958,.534,1219,1519,.803,719,2352,3071,1754,557,363,886,1422,8019
ATL,2021,Opponent/G,,241.7,41.3,89.1,.463,11.9,34.2,.349,29.3,55.0,.534,16.9,21.1,.803,10.0,32.7,42.7,24.4,7.7,5.0,12.3,19.8,111.4
ATL,2021,Lg Rank,,11,14,19,12,9,14,3,20,21,16,14,12,30,21,4,8,11,21,17,29,9,12
ATL,2021,Year/Year,,-0.5%,-4.8%,-1.7%,-.015,0.2%,4.3%,-.014,-6.6%,-5.2%,-.008,-20.1%,-23.1%,+.031,-10.6%,-8.9%,-9.3%,-2.5%,-13.6%,-21.1%,-18.0%,-5.8%,-7.0%
BOS,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
BOS,2021,Team,72,17380,2985,6401,.466,979,2618,.374,2006,3783,.530,1160,1496,.775,765,2421,3186,1689,556,383,1012,1471,8109
BOS,2021,Team/G,,241.4,41.5,88.9,.466,13.6,36.4,.374,27.9,52.5,.530,16.1,20.8,.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6
BOS,2021,Lg Rank,,16,13,11,19,11,10,10,16,20,17,25,25,16,4,22,15,25,13,6,16,24,16
